,date,t1,pitcher,t2,batter,inning,result,pitch_type,mph,rpm,vbreak,up_down,hbreak,left_right,count,left_right_raw,result_raw,pitch_type_raw,fifax
0,2021-9-1,Cardinals,Wade Miley,Reds,Tommy Edman,1,Strike,Cutter,83.5,2205,36,↓,4,True,"(0, 0)",←,Called Strike,Cutter,0.6183295032046187
1,2021-9-1,Cardinals,Wade Miley,Reds,Tommy Edman,1,Contact,Changeup,82.1,1743,37,↓,12,False,"(0, 1)",→,"In play, out(s)",Changeup,0.5422823003512418
2,2021-9-1,Cardinals,Wade Miley,Reds,Paul Goldschmidt,1,Strike,Cutter,83.9,2212,35,↓,6,True,"(0, 0)",←,Called Strike,Cutter,0.5926114232525421
3,2021-9-1,Cardinals,Wade Miley,Reds,Paul Goldschmidt,1,Ball,Fastball,89.9,2068,21,↓,4,True,"(0, 1)",←,Ball,4-Seam Fastball,0.5878580437549807
4,2021-9-1,Cardinals,Wade Miley,Reds,Paul Goldschmidt,1,Contact,Changeup,82.3,1815,33,↓,12,False,"(1, 1)",→,"In play, run(s)",Changeup,0.5421305839890008
5,2021-9-1,Cardinals,Wade Miley,Reds,Tyler O'Neill,1,Strike,Cutter,85.8,2357,30,↓,4,True,"(0, 0)",←,Swinging Strike,Cutter,0.5884962107309499
6,2021-9-1,Cardinals,Wade Miley,Reds,Tyler O'Neill,1,Contact,Cutter,86.7,2293,30,↓,2,True,"(0, 1)",←,"In play, no out",Cutter,0.5700783342272725
7,2021-9-1,Cardinals,Wade Miley,Reds,Nolan Arenado,1,Strike,Cutter,86.6,2306,28,↓,5,True,"(0, 0)",←,Called Strike,Cutter,0.577289164808461
8,2021-9-1,Cardinals,Wade Miley,Reds,Nolan Arenado,1,,Fastball,90.3,2154,18,↓,1,False,"(0, 1)",→,Ball In Dirt,4-Seam Fastball,0.5880200745269075
9,2021-9-1,Cardinals,Wade Miley,Reds,Nolan Arenado,1,Ball,Cutter,85.1,2271,32,↓,5,True,"(1, 1)",←,Ball,Cutter,0.5964123128511725
10,2021-9-1,Cardinals,Wade Miley,Reds,Nolan Arenado,1,Foul,Cutter,86.1,2325,31,↓,5,True,"(2, 1)",←,Foul,Cutter,0.5756034391104944
11,2021-9-1,Cardinals,Wade Miley,Reds,Nolan Arenado,1,Foul,Fastball,89.0,2235,19,↓,1,True,"(2, 2)",←,Foul,4-Seam Fastball,0.5896551312175609
12,2021-9-1,Cardinals,Wade Miley,Reds,Nolan Arenado,1,Foul,Fastball,90.5,2249,22,↓,3,True,"(2, 2)",←,Foul,4-Seam Fastball,0.5848065240261404
13,2021-9-1,Cardinals,Wade Miley,Reds,Nolan Arenado,1,Foul,Slider,80.1,2286,40,↓,12,True,"(2, 2)",←,Foul,Slider,0.692986371982057
14,2021-9-1,Cardinals,Wade Miley,Reds,Nolan Arenado,1,Strike,Cutter,85.7,2311,37,↓,6,True,"(2, 2)",←,Swinging Strike,Cutter,0.5918961201635365
15,2021-9-1,Cardinals,Wade Miley,Reds,Dylan Carlson,1,Contact,Cutter,84.6,2205,30,↓,9,True,"(0, 0)",←,"In play, no out",Cutter,0.5743703440664393
16,2021-9-1,Cardinals,Wade Miley,Reds,Edmundo Sosa,1,Contact,Cutter,85.8,2230,34,↓,5,True,"(0, 0)",←,"In play, out(s)",Cutter,0.5788306511594544
17,2021-9-1,Cardinals,Miles Mikolas,Reds,Jonathan India,1,Ball,Slider,87.7,2327,31,↓,2,False,"(0, 0)",→,Ball,Slider,0.6622596173248961
18,2021-9-1,Cardinals,Miles Mikolas,Reds,Jonathan India,1,Ball,Slider,85.9,2433,37,↓,1,False,"(1, 0)",→,Ball,Slider,0.6591491405234728
19,2021-9-1,Cardinals,Miles Mikolas,Reds,Jonathan India,1,Ball,Fastball,92.6,2351,16,↓,8,True,"(2, 0)",←,Ball,4-Seam Fastball,0.6290440656286689
20,2021-9-1,Cardinals,Miles Mikolas,Reds,Jonathan India,1,Strike,Fastball,91.5,2333,21,↓,8,True,"(3, 0)",←,Called Strike,4-Seam Fastball,0.6034055342599319
21,2021-9-1,Cardinals,Miles Mikolas,Reds,Jonathan India,1,Strike,Fastball,92.8,2331,16,↓,8,True,"(3, 1)",←,Called Strike,4-Seam Fastball,0.6317546308819624
22,2021-9-1,Cardinals,Miles Mikolas,Reds,Jonathan India,1,Strike,Sinker,93.1,2268,18,↓,15,True,"(3, 2)",←,Called Strike,Sinker,0.5700495553727856
23,2021-9-1,Cardinals,Miles Mikolas,Reds,Tyler Naquin,1,Strike,Sinker,94.2,2294,18,↓,16,True,"(0, 0)",←,Called Strike,Sinker,0.5642935219345521
24,2021-9-1,Cardinals,Miles Mikolas,Reds,Tyler Naquin,1,Strike,Fastball,94.6,2332,13,↓,10,True,"(0, 1)",←,Swinging Strike,4-Seam Fastball,0.6705455769603501
25,2021-9-1,Cardinals,Miles Mikolas,Reds,Tyler Naquin,1,Ball,Fastball,94.6,2421,12,↓,9,True,"(0, 2)",←,Ball,4-Seam Fastball,0.6830906891341733
26,2021-9-1,Cardinals,Miles Mikolas,Reds,Tyler Naquin,1,Ball,Curveball,77.9,2681,65,↓,8,False,"(1, 2)",→,Ball,Curveball,0.6982434331549192
27,2021-9-1,Cardinals,Miles Mikolas,Reds,Tyler Naquin,1,Ball,Curveball,78.2,2708,65,↓,3,False,"(2, 2)",→,Ball,Curveball,0.692572352491759
28,2021-9-1,Cardinals,Miles Mikolas,Reds,Tyler Naquin,1,Foul,Slider,86.9,2318,33,↓,2,False,"(3, 2)",→,Foul,Slider,0.660362900860755
29,2021-9-1,Cardinals,Miles Mikolas,Reds,Tyler Naquin,1,Foul,Fastball,94.5,2256,14,↓,7,True,"(3, 2)",←,Foul,4-Seam Fastball,0.6265869652820073
30,2021-9-1,Cardinals,Miles Mikolas,Reds,Tyler Naquin,1,Foul,Fastball,93.8,2233,14,↓,4,True,"(3, 2)",←,Foul,4-Seam Fastball,0.626991113951443
31,2021-9-1,Cardinals,Miles Mikolas,Reds,Tyler Naquin,1,Contact,Slider,87.4,2291,29,↓,3,False,"(3, 2)",→,"In play, out(s)",Slider,0.6622185331574584
32,2021-9-1,Cardinals,Miles Mikolas,Reds,Nick Castellanos,1,Foul,Fastball,93.4,2215,15,↓,4,True,"(0, 0)",←,Foul,4-Seam Fastball,0.6244160227284496
33,2021-9-1,Cardinals,Miles Mikolas,Reds,Nick Castellanos,1,Ball,Slider,87.6,2304,30,↓,2,False,"(0, 1)",→,Ball,Slider,0.6619358996847815
34,2021-9-1,Cardinals,Miles Mikolas,Reds,Nick Castellanos,1,Strike,Sinker,93.0,2249,17,↓,14,True,"(1, 1)",←,Called Strike,Sinker,0.5908057860597706
35,2021-9-1,Cardinals,Miles Mikolas,Reds,Nick Castellanos,1,Ball,Slider,88.2,2443,31,↓,2,False,"(1, 2)",→,Ball,Slider,0.6624048416203976
36,2021-9-1,Cardinals,Miles Mikolas,Reds,Nick Castellanos,1,Foul,Curveball,77.5,2474,61,↓,7,False,"(2, 2)",→,Foul,Curveball,0.705370693507279
37,2021-9-1,Cardinals,Miles Mikolas,Reds,Nick Castellanos,1,Strike,Fastball,93.0,2183,15,↓,8,True,"(2, 2)",←,Swinging Strike,4-Seam Fastball,0.6272890239399775
38,2021-9-1,Cardinals,Wade Miley,Reds,Harrison Bader,2,Contact,Cutter,83.0,2165,33,↓,8,True,"(0, 0)",←,"In play, run(s)",Cutter,0.5679718867004901
